DEPTH,CALI,DT,DTS,GR,NPHI,PHIE,RHOB,RT,TEMP
3516.3251,9.233,73.8289,133.0708,16.626,0.1471,0.0847,2.517,2.297,95.0387
3516.4775,9.239,73.5969,134.0617,15.525,0.1376,0.105,2.4851,2.315,95.0429
3516.6299,9.209,73.3479,136.3599,15.451,0.1447,0.1025,2.489,2.279,95.0471
3516.7823,9.227,73.125,138.93,14.015,0.1375,0.1063,2.483,2.209,95.0514
3516.9347,9.27,73.0691,140.2532,14.519,0.1487,0.1178,2.4651,2.144,95.0556
3517.0871,9.227,73.2772,141.8515,13.458,0.16,0.0912,2.5068,2.108,95.0599
3517.2395,9.221,73.6952,143.763,15.706,0.1529,0.0809,2.5229,2.096,95.0641
3517.3919,9.233,74.1652,145.1293,14.385,0.1485,0.0891,2.5101,2.087,95.0683
3517.5443,9.221,74.5501,145.5406,17.297,0.1453,0.0828,2.52,2.081,95.0726
3517.6967,9.246,74.8281,145.0703,18.227,0.1439,0.091,2.5071,2.085,95.0768
3517.8491,9.276,75.0551,145.4436,15.21,0.1488,0.0841,2.518,2.093,95.081
3518.0015,9.2463,75.2553,146.262,16.8519,0.1502,0.0772,2.5287,2.0929,95.0853
3518.1539,9.276,75.368,146.2301,18.841,0.1441,0.0904,2.5081,2.087,95.0895
3518.3063,9.252,75.3459,145.0651,19.521,0.1569,0.1044,2.4861,2.086,95.0937
3518.4587,9.209,75.231,143.8405,16.83,0.1527,0.0974,2.497,2.095,95.098
3518.6111,9.239,75.145,141.8618,14.911,0.1396,0.0885,2.5109,2.096,95.1022
3518.7635,9.27,75.145,140.3028,13.837,0.1563,0.1101,2.4771,2.067,95.1064
3518.9159,9.276,75.1379,137.3626,14.466,0.161,0.1013,2.4909,2.02,95.1107
3519.0683,9.294,74.9648,135.5355,13.162,0.1457,0.1089,2.479,1.997,95.1149
3519.2207,9.282,74.5828,133.5009,11.453,0.1434,0.1127,2.473,2.025,95.1191
3519.3731,9.3,74.0938,132.0166,13.139,0.1536,0.1159,2.468,2.101,95.1234
3519.5255,9.258,73.6118,131.459,13.127,0.1535,0.1184,2.464,2.198,95.1276
3519.6779,9.276,73.1498,131.4572,13.031,0.1564,0.1038,2.4869,2.275,95.1319
3519.8303,9.252,72.6788,131.714,14.15,0.1612,0.0879,2.5119,2.306,95.1361
3519.9827,9.258,72.2409,131.7582,13.29,0.1432,0.0948,2.501,2.299,95.1403
3520.1351,9.27,71.949,132.0597,11.918,0.1458,0.1063,2.4831,2.272,95.1445
3520.2875,9.276,71.845,132.9698,15.479,0.1456,0.1139,2.471,2.23,95.1488
3520.4399,9.3,71.832,134.0969,13.282,0.1345,0.0835,2.5188,2.191,95.153
3520.5923,9.27,71.807,135.2921,12.372,0.1393,0.0676,2.5439,2.189,95.1573
3520.7447,9.264,71.8201,136.7261,13.465,0.1376,0.0745,2.533,2.239,95.1615
3520.8971,9.252,72.0142,138.2151,14.133,0.1278,0.0954,2.5001,2.309,95.1657
3521.0495,9.288,72.4122,139.6149,12.143,0.1317,0.105,2.4851,2.339,95.17
3521.2019,9.3,72.8361,140.7786,12.548,0.1374,0.0803,2.5238,2.301,95.1742
3521.3543,9.276,73.071,141.5716,18.72,0.1443,0.0523,2.5678,2.242,95.1784
3521.5067,9.3,73.097,141.0776,16.804,0.1345,0.0592,2.557,2.225,95.1827
3521.6591,9.3,73.1091,139.207,17.206,0.119,0.0776,2.5281,2.265,95.1869
3521.8115,9.3,73.2791,136.5005,13.642,0.1461,0.0847,2.517,2.325,95.1911
3521.9639,9.294,73.523,134.4666,14.342,0.1432,0.1005,2.4921,2.358,95.1954
3522.1163,9.3,73.5709,133.9966,15.549,0.1449,0.1012,2.491,2.345,95.1996
3522.2687,9.288,73.2548,133.5308,15.075,0.1554,0.0816,2.5219,2.316,95.2038
3522.4211,9.276,72.6898,133.2385,16.085,0.1405,0.0752,2.532,2.322,95.2081
3522.5735,9.312,72.1869,132.5283,11.783,0.1206,0.1068,2.4822,2.377,95.2123
3522.7259,9.191,71.951,131.5649,10.912,0.1053,0.1006,2.492,2.445,95.2166
3522.8783,9.179,71.8769,130.1623,11.048,0.1319,0.1082,2.48,2.486,95.2208
3523.0307,9.179,71.6868,129.2098,11.515,0.1268,0.1057,2.484,2.492,95.225
3523.1831,9.191,71.2428,128.9825,13.857,0.1333,0.0981,2.496,2.484,95.2293
3523.3355,9.191,70.6908,129.6788,12.311,0.1171,0.0644,2.5488,2.498,95.2335
3523.4879,9.197,70.316,130.7367,15.314,0.1212,0.0675,2.544,2.552,95.2377
3523.6403,9.149,70.255,131.6422,11.504,0.128,0.0814,2.5221,2.623,95.242
3523.7927,9.149,70.353,133.3063,12.292,0.1379,0.0885,2.511,2.659,95.2462
3523.9451,9.149,70.3489,135.0606,11.61,0.1185,0.0733,2.5349,2.632,95.2504
3524.0975,9.131,70.197,137.2049,17.593,0.1205,0.0536,2.5659,2.595,95.2547
3524.2499,9.149,70.1241,138.403,18.472,0.1217,0.0687,2.5421,2.623,95.2589
3524.4023,9.173,70.3863,139.7283,15.196,0.1322,0.0504,2.5709,2.706,95.2632
3524.5547,9.155,70.9652,140.2079,14.837,0.1212,0.0573,2.56,2.746,95.2674
3524.7071,9.101,71.5361,140.0528,20.14,0.1223,0.0427,2.5829,2.718,95.2716
3524.8595,9.107,71.766,138.4047,18.442,0.1281,0.0515,2.5691,2.722,95.2758
3525.0119,9.101,71.6459,136.6626,18.258,0.1249,0.0509,2.57,2.828,95.2801
3525.1643,9.107,71.463,136.184,14.433,0.116,0.0763,2.5302,2.985,95.2843
3525.3167,9.125,71.4581,137.4782,14.747,0.1213,0.0713,2.538,3.075,95.2886
3525.4691,9.149,71.588,139.118,14.693,0.1078,0.0738,2.534,3.041,95.2928
3525.6215,9.149,71.667,141.8311,24.306,0.1288,0.0669,2.545,2.936,95.297
3525.7739,9.089,71.6781,143.2446,23.65,0.1255,0.0415,2.5848,2.857,95.3013
3525.9263,9.101,71.8292,143.9921,22.161,0.1216,0.0382,2.59,2.834,95.3055
3526.0787,9.101,72.2602,144.1135,21.726,0.1153,0.0591,2.5571,2.808,95.3097
3526.2311,9.113,72.8042,143.5073,21.312,0.1231,0.0497,2.5719,2.733,95.314
3526.3835,9.125,73.135,142.5216,25.725,0.1459,0.0406,2.5849,2.67,95.3182
3526.5359,9.155,73.1059,140.6358,21.455,0.1304,0.0623,2.5521,2.71,95.3224
3526.6883,9.125,72.8368,137.6942,17.628,0.124,0.0611,2.554,2.861,95.3267
3526.8407,9.101,72.4808,135.282,17.794,0.1139,0.0586,2.558,3.065,95.3309
3526.9931,9.119,72.0337,133.9848,18.296,0.1207,0.0516,2.569,3.254,95.3351
3527.1455,9.101,71.4537,133.6637,17.446,0.1186,0.0585,2.558,3.402,95.3394
3527.2979,9.125,70.8668,133.2271,17.302,0.1118,0.0421,2.5839,3.49,95.3436
3527.4503,9.137,70.517,133.3712,17.354,0.1178,0.0458,2.578,3.505,95.3478
3527.6027,9.107,70.5301,135.0043,17.338,0.1279,0.0541,2.5651,3.448,95.3521
3527.7551,9.119,70.7891,138.1695,23.267,0.1077,0.0497,2.572,3.357,95.3563
3527.9075,9.101,71.0731,140.2094,22.474,0.1324,0.0595,2.5565,3.289,95.3605
3528.0599,9.113,71.3041,140.7881,17.159,0.1254,0.0605,2.555,3.266,95.3648
3528.2123,9.107,71.5601,140.9631,18.126,0.1092,0.0415,2.5849,3.25,95.369
3528.3647,9.107,71.8751,141.0638,17.619,0.1309,0.0325,2.5989,3.186,95.3733
3528.5171,9.125,72.1621,140.8317,15.305,0.1395,0.0572,2.5602,3.077,95.3775
3528.6695,9.173,72.299,139.1384,17.154,0.1306,0.0681,2.5431,2.973,95.3817
3528.8219,9.101,72.2229,137.0315,18.29,0.1414,0.0776,2.5281,2.915,95.386
3528.9743,9.107,71.9378,133.7017,15.823,0.1302,0.0593,2.5569,2.922,95.3902
3529.1267,9.125,71.4978,131.9347,15.487,0.1443,0.0757,2.5311,3.014,95.3944
3529.2791,9.125,70.9497,130.164,12.857,0.1187,0.0758,2.531,3.221,95.3987
3529.4315,9.125,70.2977,130.197,14.084,0.1017,0.0536,2.5659,3.552,95.4029
3529.5839,9.149,69.5406,128.8461,13.633,0.1061,0.0516,2.569,3.934,95.4071
3529.7363,9.113,68.7437,127.5953,11.822,0.0974,0.0516,2.569,4.227,95.4114
3529.8887,9.107,68.0178,125.3504,11.139,0.1073,0.0573,2.56,4.378,95.4156
3530.0411,9.107,67.4478,125.9212,11.11,0.1006,0.0465,2.5769,4.42,95.4199
3530.1935,9.101,67.0499,126.2215,11.563,0.0974,0.0408,2.586,4.368,95.4241
3530.3459,9.101,66.7909,126.8953,12.987,0.096,0.0439,2.581,4.297,95.4283
3530.4983,9.137,66.666,127.301,13.423,0.1074,0.0528,2.5671,4.308,95.4325
3530.6507,9.113,66.7011,127.3004,11.109,0.0906,0.0414,2.5849,4.373,95.4368
3530.8031,9.095,66.845,127.8704,10.953,0.0865,0.056,2.5621,4.37,95.441
3530.9555,9.095,66.923,128.3928,12.384,0.1013,0.0389,2.5889,4.281,95.4453
3531.1079,9.089,66.8199,128.1366,13.417,0.0985,0.056,2.5621,4.199,95.4495
3531.2603,9.101,66.5859,127.5469,11.32,0.102,0.0586,2.558,4.192,95.4537
3531.4127,9.077,66.379,127.3728,10.855,0.0979,0.0573,2.56,4.231,95.458
3531.5651,9.125,66.313,127.0817,13.183,0.1009,0.0414,2.5849,4.239,95.4622
3531.7175,9.137,66.344,126.7111,11.183,0.0887,0.0522,2.5681,4.18,95.4664
3531.8699,9.059,66.35,126.8784,12.082,0.1092,0.0598,2.556,4.093,95.4707
3532.0223,9.053,66.308,127.3958,12.251,0.1121,0.0427,2.5829,4.017,95.4749
3532.1747,9.041,66.303,127.0607,10.445,0.1148,0.0515,2.5691,3.977,95.4791
3532.3271,9.029,66.373,126.6821,12.191,0.102,0.0459,2.578,4.006,95.4834
3532.4795,9.035,66.465,126.7577,13.066,0.0994,0.056,2.5621,4.125,95.4876
3532.6319,9.053,66.497,127.6702,12.84,0.0946,0.0421,2.5839,4.307,95.4918
3532.7843,9.041,66.4129,127.8952,13.487,0.0913,0.0439,2.581,4.505,95.4961
3532.9367,9.023,66.251,128.1851,13.194,0.097,0.0452,2.579,4.7,95.5003
3533.0891,9.041,66.131,128.3433,11.134,0.0974,0.0427,2.583,4.853,95.5045
3533.2415,9.011,66.1551,128.7753,13.98,0.098,0.0452,2.579,4.894,95.5088
3533.3939,9.059,66.3251,129.2389,12.654,0.0861,0.042,2.584,4.802,95.513
